no,locationCode,nickname
1,5468813801816064-5685314513272832,Nandar
2,5447085327384576-6010035280805888,Nandar
3,5776090257686528-6198302722752512,Nandar
4,5391116769689600-5696381570252800,Nandar
5,6476867154477056-5913917201055744,Nandar
6,6381179745861632-5832616322269184,Nandar
7,5648306323587072-5635384914477056,Nandar
8,6330603989368832-5767654035947520,Nandar
9,6304537732186112-5178637825343488,Nandar
10,4833609814900736-6240984698454016,Nandar
11,6163245589069824-5749095851360256,Nandar
12,5667113112961024-5755235104456704,Nandar
13,6549587158368256-6514033419091968,Nandar
14,5379114181591040-5660589158301696,Nandar
15,4790927839199232-6198302722752512,Nandar
16,5420773804081152-5983723757502464,Nandar
17,6045926409895936-5685314513272832,Nandar
18,5468585329688576-6031535283109888,Nandar
19,newjkt-23,Nandar
20,5090752090603520-5653702044024832,Nandar
21,6545634479833088-5419734572990464,Nandar
22,5922039084875776-6203514061586432,Nandar
23,5956215079174144-4789259579949056,Nandar
24,5090323768279040-5653273721700352,Nandar
25,5189243307556864-5752193260978176,Nandar
26,6230496858079232-5675685867683840,Nandar
27,6300994719711232-5715498335469568,Nandar
28,5182479807807488-5682370246082560,Nandar
29,5175845324849152-4906864408002560,Nandar
30,5564501243985920-5736829290545152,Nandar
31,newjkt-12,Nandar
32,5849032123482112-4723132216639488,Nandar
33,5563445420228608-6126395373649920,Nandar
34,4802945627455488-5767956059389952,Nandar
35,4689789697654784-5393477139431424,Nandar
36,6201671386398720-5638721432977408,Nandar
37,5235555101048832-5798505054470144,Nandar
38,5102120466382848-5665070419804160,Nandar
39,4805740946522112-6213115830075392,Nandar
40,4902424351342592-6309799234895872,Nandar
41,5927987849461760-4802087942619136,Nandar
42,6252354248638464-5798505054470144,Nandar
43,6486840135647232-5360940228804608,Nandar
44,4812134944866304-5093609921576960,Nandar
45,5123489337966592-5686439291387904,Nandar
46,5994270100029440-4868370193186816,Nandar
47,4694586119159808-6524173467779072,Nandar
48,5205264978411520-5768214931832832,Nandar
49,5731284487766016-4811055532343296,Nandar
50,5112226423767040-5680905863561216,Nandar
51,5162493580148736-5725443533570048,Nandar
52,5952861850566656-5999917512261632,Nandar
53,5869297792450560-6010035280805888,Nandar
54,4979866738884608-6387241622437888,Nandar
55,6586179608641536-5438246519570432,Nandar
56,6224111416115200-5098211509272576,Nandar
57,5360130661023744-5473187622027264,Nandar
58,4532525896564736-5767956059389952,Nandar
59,6479777699463168-6198302722752512,Nandar
60,4525376789282816-4789259579949056,Nandar
61,6304704631930880-5749095851360256,Nandar
62,5896915338133504-4771015431290880,Nandar
63,newjkt-16,Nandar
64,5934748698411008-4808848791568384,Nandar
65,5353738910826496-5916688864247808,Nandar
66,6047578797899776-4921678891057152,Nandar
67,newjkt-07,Nandar
68,5589881581469696-5916688864247808,Nandar
69,5150994040094720-5713943993516032,Nandar
70,5762049405616128-5473187622027264,Nandar
71,4739409454825472-6568996803444736,Nandar
72,6709985262174208-5696381570252800,Nandar
73,newjkt-15,Nandar
74,5206083572334592-5769033525755904,Nandar
75,5197418710695936-5760368664117248,Nandar
76,5740123731787776-5733455795060736,Nandar
77,5740829347938304-5745890966896640,Nandar
78,5999062780215296-4873162873372672,Nandar
79,5183153664688128-5746103618109440,Nandar
80,5182941013475328-5745890966896640,Nandar
81,4536106288676864-6735129544228864,Nandar
82,4939485456367616-6126395373649920,Nandar
83,4859796968701952-5736829290545152,Nandar
84,5152548382048256-5715498335469568,Nandar
85,6275922109923328-5712972156502016,Nandar
86,4865135109734400-6272509993287680,Nandar
87,6307361840955392-5181461934112768,Nandar
88,5730304429916160-5738444466683904,Nandar
89,5116232118304768-6309799234895872,Nandar
90,5633453789806592-5473187622027264,Nandar
91,6519377046274048-5393477139431424,Nandar
92,new3,Nandar
93,5075771479556096-5638721432977408,Nandar
94,6584786260852736-6466597350801408,Nandar
95,5087215923232768-5650165876654080,Nandar
96,6209462826172416-5083562919329792,Nandar
97,6271482221035520-5145582314192896,Nandar
