no,code,active,city,country,latitude,locationCode,locationName,longitude,postCode,state,street1,street2,street3,street4,street5
1,CC010001,true,Bandung,,-6.920255,4871962597785600-6313893177589760,PT Wijaya Karya (Persero),107.609708333333,,,Jl. Braga,,,,
2,CC010002,true,INDRAMAYU,,-6.3288813,new2,Abdi Citra Graha CV,108.3242702,,,Wiralodra No. 254 Blok E, Kelurahan Lemahabang,,,
3,CC010003,true,,,-6.29089974535443,6549522868076544-6442573887438848,PT Jasa Marga Kantor Pusat,106.879081241454,,,Jl. Tol Jagorawi,,,,
4,CC010004,true,,,-6.9112456,4695870683480064-5751644511797248,Bpk. Roy,107.5949256,,,Jl. Bima,,,,
5,CC010005,true,,,-6.20364309288561,4559479634919424-6388057666224128,PT. Meindo Elang Indah,106.769370501861,,,Jl. Panjang Raya,,,,
6,CC010006,true,,,-7.35678526572883,4875627077304320-6283001960857600,PT Dirga Guna Mandiri,108.114311490208,,,Jl. Raya Bojong Koneng,,,,
7,CC010007,true,,,-6.90801068361824,5365356931579904-5928306885001216,Dasa Lintas,107.627482543943,,,Jl. Saninten,,,,
8,CC010008,true,,,-6.29531630315473,6262167074504704-5136267167662080,PT Tata Mulia,106.651562433789,,,Navapark,,,,
9,CC010009,true,,,-6.1977164,4980682782670848-6388057666224128,PT. Davy Sukamta,106.7618028,,,Jl. Meruya Ilir,,,,
10,CC010010,true,,,-6.93743333333333,6027530528096256-5181067635982336,Pak Rubijanto Gani,107.585946666667,,,Jl. Sukamulya,,,,
11,CC010011,true,,Jakarta Timur,-6.2326217,newjkt-04,Anda Maria PT,106.922359,,,Jalan Raya Radin Inten II No. 8 B Lantai 3, RT 05,Kelurahan Duren Sawit, Kecamatan Duren Sawit,
12,CC010012,true,,,-6.3913062817534,4891760283090944-5751123109478400,Tambak Lestari,106.849133625708,,,Jl. Proklamasi,,,,
13,CC010013,true,,,-6.86449494,6544730758316032-5105285353963520,Bp. Indra,107.55272025,,,Jl. Encep Kartawiria,,,,
